"region","year","avg_value"
"Africa","2013",9.80446808510638
"Africa","2014",10.1004255319149
"Africa","2015",10.4110638297872
"Africa","2016",10.7436170212766
"Africa","2017",11.0940425531915
"Africa","2018",11.461914893617
"Africa","2019",11.8474468085106
"Africa","2020",12.2578723404255
"Africa","2021",12.6897872340426
"Africa","2022",13.1412765957447
"Americas","2013",25.9843243243243
"Americas","2014",26.6172972972973
"Americas","2015",27.2556756756757
"Americas","2016",27.9021621621622
"Americas","2017",28.5540540540541
"Americas","2018",29.2045945945946
"Americas","2019",29.8627027027027
"Americas","2020",30.5381081081081
"Americas","2021",31.2232432432432
"Americas","2022",31.9181081081081
"Eastern Mediterranean","2013",25.4272727272727
"Eastern Mediterranean","2014",25.9136363636364
"Eastern Mediterranean","2015",26.4036363636364
"Eastern Mediterranean","2016",26.9154545454545
"Eastern Mediterranean","2017",27.4213636363636
"Eastern Mediterranean","2018",27.9018181818182
"Eastern Mediterranean","2019",28.3845454545455
"Eastern Mediterranean","2020",28.8790909090909
"Eastern Mediterranean","2021",29.3786363636364
"Eastern Mediterranean","2022",29.8845454545455
"Europe","2013",20.1659615384615
"Europe","2014",20.4496153846154
"Europe","2015",20.7413461538462
"Europe","2016",21.0423076923077
"Europe","2017",21.3473076923077
"Europe","2018",21.6532692307692
"Europe","2019",21.9634615384615
"Europe","2020",22.285
"Europe","2021",22.6203846153846
"Europe","2022",22.9661538461538
"South-East Asia","2013",6.03909090909091
"South-East Asia","2014",6.37090909090909
"South-East Asia","2015",6.72727272727273
"South-East Asia","2016",7.10090909090909
"South-East Asia","2017",7.49454545454545
"South-East Asia","2018",7.90363636363636
"South-East Asia","2019",8.32818181818182
"South-East Asia","2020",8.77
"South-East Asia","2021",9.22818181818182
"South-East Asia","2022",9.70818181818182
"Western Pacific","2013",31.8603333333333
"Western Pacific","2014",32.2666666666667
"Western Pacific","2015",32.685
"Western Pacific","2016",33.1123333333333
"Western Pacific","2017",33.5483333333333
"Western Pacific","2018",33.991
"Western Pacific","2019",34.4426666666667
"Western Pacific","2020",34.9053333333333
"Western Pacific","2021",35.3723333333333
"Western Pacific","2022",35.848
